Home institution,Year
"King's College London, after 17th November University of Surrey",2015
University of Cambridge,2015
University of Edinburgh,2015
University College London,2015
University of Bristol,2015
University College London,2015
Queen Mary University of London,2015
Durham University,2015
Ravensbourne,2015
Durham University,2015
University of Cambridge,2015
Imperial College London,2015
"Royal Holloway, University of London",2015
Durham University,2015
UCL,2015
Northumbria University,2015
Imperial College,2015
Imperial College,2015
Imperial College London,2015
Oxford Brookes University,2015
Northumbria University,2015
"University of Cambridge, High Performance Computing Service",2015
University of Manchester,2015
University of Sussex,2015
University of Loughborough,2015
Royal Holloway University of London,2015
University of Oxford,2015
The British Library,2015
Imperial College London,2015
The University of Manchester,2015
Kichwa Coders Ltd,2015
Imperial College London,2015
University of Brsitol,2015
University of Oxford,2015
"Insight Centre for Data Analytics, University College Cork",2015
Imperial College London,2015
University College London,2015
"Centre for Computational Science, University College London",2015
UK Atomic Energy Authority (UKAEA),2015
Webster Research and Consulting,2015
University of Westminster,2015
University of Manchester,2015
The Royal Veterinary College,2015
University of Manchester,2015
University of Bristol,2015
University of Southampton,2015
NERC Centre for Ecology & Hydrology,2015
University of Strathclyde,2015
"INSIGNEO institute for in silico medicine, Dept.Mechanical Engineer",2015
University of Wolverhampton,2015
Northumbria University,2015
Newcastle University,2015
The University of Manchester,2015
"Oxford e-Research Centre, University of Oxford",2015
University of Southampton,2015
UCL,2015
Great Ormond Street Hospital / Institute Child Health,2015
University of Huddersfield,2015
Durham University,2015
"Scientific Computing Department, STFC",2015
University of Sheffield,2015
University of Manchester,2015
University of Oxford,2015
University of Strathclyde,2015
"Imperial College, London",2015
Queen Mary University of London,2015
Imperial College London,2015
University of Warwick,2015
Swansea University,2015
Queen Mary University of London,2015
University of York,2015
Oxford University,2015
Northumbria University,2015
European Bionformatics Institute,2013
University of Edinburgh,2013
University of Birmingham,2013
"University of Bristol, School of Earth Sciences",2013
King's College London,2013
"Experimental Psychology, University of Oxford",2013
University of Bath,2013
EBI / Spare time,2013
King's College London,2013
University College London,2013
University of Bath,2013
Brunel University,2013
University of Oxford,2013
University of Bath,2013
"University of Sussex, Department of Economics",2013
Univesity of Edinburgh,2013
University of Oxford,2013
Heriot-Watt University,2013
University College London,2013
Rutherford Appleton Laboratory,2013
University of Birmingham,2013
University of Exeter,2013
"Imperial College/Natural History Museum, London",2013
"Royal Holloway, University of London",2013
Plymouth University,2013
University of Glasgow,2013
University of St Andrews,2013
University of Southampton,2013
